"","Country","population_million","HDI_2018","log_pop_density","ages_65_up","BCG_policy","BCG_mean_coverage","urban_fraction","lat","long","Days_since_first_death","max_log_deaths_million","BCG_index","range_age_BCG","ISO3"
"29","Cabo Verde",0.5438,0.651,4.90527477843843,0.05,"current",0.8954545455,0.65732,16,-24,237,5.2439027350134,48.7626006929241,54.4556962025316,"CPV"
"30","Cameroon",25.2162,0.563,3.97029191355212,0.03,"current",0.6502941176,0.56374,6,12,236,2.84325108288639,35.412218910319,54.4556962025316,"CMR"
"31","Canada",37.0578,0.922,1.38629436111989,0.17,"never",0.888338292766521,0.81411,60,-95,252,5.69326260083911,0,0,"CAN"
"32","Central African Republic",4.6664,0.381,1.94591014905531,0.03,"current",0.5813157895,0.41364,7,21,177,2.60274682993424,31.6559560307468,54.4556962025316,"CAF"
"33","Chad",15.4778,0.401,2.484906649788,0.02,"current",0.584516129,0.23059,15,19,202,1.87571377764257,31.8302327463038,54.4556962025316,"TCD"
"34","Chile",18.7292,0.847,3.2188758248682,0.12,"current",0.9587179487,0.87564,-30,-71,239,6.67358161687275,68.0689743577,71,"CHL"
"35","China",1392.73,0.758,4.99721227376411,0.11,"current",0.8991666667,0.59152,35,105,299,1.22519313790651,63.8408333357,71,"CHN"
"36","Colombia",49.6487,0.761,3.80666248977032,0.08,"current",0.8646153846,0.80778,4,-72,239,6.53005494603381,51.876923076,60,"COL"
"37","Comoros",0.8323,0.538,6.10255859461357,0.03,"current",0.8172727273,0.28965,-12.1667,44.25,194,2.1294724752854,44.5051553524633,54.4556962025316,"COM"
"38","Congo (Brazzaville)",5.2444,0.609,2.70805020110221,0.03,"current",0.7668571429,0.66916,-1,15,228,3.07903760775139,41.7597396045038,54.4556962025316,"COG"
"39","Congo (Kinshasa)",84.0681,0.457,3.61091791264422,0.03,"current",0.6419512195,0.4446,0,25,240,1.33356391810714,34.9579005859367,54.4556962025316,"COD"
"40","Costa Rica",4.9994,0.794,4.58496747867057,0.1,"current",0.8630769231,0.7934,10,-84,242,5.73410832391384,46.9994547237494,54.4556962025316,"CRI"
"41","Cote d'Ivoire",25.0692,0.516,4.36944785246702,0.03,"current",0.7468965517,0.50779,8,-5,232,1.63039026290875,40.6727717140937,54.4556962025316,"CIV"
"42","Croatia",4.0878,0.837,4.29045944114839,0.2,"current",0.9803225806,0.56947,45.1667,15.5,242,5.54758568037076,70.5832258032,72,"HRV"
"43","Cuba",11.3381,0.778,4.69134788222914,0.15,"current",0.9848717949,0.77037,21.5,-80,243,2.44702858744025,53.6318792615165,54.4556962025316,"CUB"
"44","Cyprus",1.1893,0.873,4.85981240436167,0.14,"never",0.878243577193751,0.6681,35,33,239,3.49019674737858,0,0,"CYP"
"45","Czechia",10.6299,0.457,4.92725368515721,0.19,"interrupted",0.9783333333,0.73792,49.75,15.5,239,6.36992327689117,55.7649999981,57,"CZE"
"46","Denmark",5.7936,0.93,4.92725368515721,0.2,"interrupted",0.9,0.87874,56,10,247,4.87656457325114,36,40,"DNK"
"47","Djibouti",0.9589,0.495,3.71357206670431,0.05,"current",0.6944444444,0.77777,11.5,43,220,4.15284234899581,37.8164556937823,54.4556962025316,"DJI"
"48","Dominican Republic",10.6272,0.745,5.39362754635236,0.07,"current",0.7982051282,0.81074,19,-70.6667,244,5.37070455112801,43.466815968562,54.4556962025316,"DOM"
"49","Ecuador",17.0844,0.758,4.23410650459726,0.07,"current",0.9469230769,0.63821,-2,-77.5,247,6.63515406536203,39.7707692298,42,"ECU"
"50","Egypt",98.4236,0.7,4.59511985013459,0.05,"current",0.9094871795,0.42704,27,30,253,4.18301980523565,41.836410257,46,"EGY"
"51","El Salvador",6.4207,0.667,5.73657229747919,0.08,"current",0.7812820513,0.72023,13.8333,-88.9167,230,5.0912876224166,39.064102565,50,"SLV"
"52","Equatorial Guinea",1.309,0.588,3.85014760171006,0.02,"current",0.5972413793,0.72143,2,10,208,4.17338776956255,32.5231951107418,54.4556962025316,"GNQ"
